site name,site_num,heat_island,micro_hab,uhii_year,avg_humidity,sample_id,sample_lat,sample_long,moss_pres,morpho_pres,Canopy cover directions,,,,can_cov,growth_sub,dist_walk_m,dist_road_m,dist_water_m,direc_found,num_col,water_pres,moss_area_m2,NOTES
,,,,,,32.2,34.078056,-117.801111,0,0,7,84,58,3,60.42,dirt,10.3,23.3,NR,west,0,0,0,
,,,,,,32.3,,,0,0,29,7,6,25,82.55,dirt,2,>30,NR,west,0,0,0,
"garsden ave, covina",33,3,residential,21984.5,,33.1,34.086944,-117.8525,1,1,7,60,8,7,78.65,dirt,0.1,2.2,NR,center,6,0,,
,,,,,,33.2,34.087222,-117.8525,1,1,72,20,24,15,65.89,dirt,0,2.17,NR,north,4,0,,
,,,,,,33.3,34.086944,-117.8525,0,0,25,96,18,95,39.06,dirt,0,2,NR,center,4,0,0,
,,,,,,33.3x,34.087222,-117.852222,1,1,13,80,55,96,36.46,dirt,2,0.07,NR,west,4,0,,
"grand ave x crestview pl, monrovia",34,4,residential,26358.9,,34.1,34.160833,-117.993611,1,,27,29,68,34,58.85,dirt,0.15,1.7,NR,west,58,0,,
,,,,,,34.2,34.160833,-117.993611,0,,93,96,96,96,0.78,dirt,0,1.9,NR,center,0,0,0,
,,,,,,34.3,34.161111,-117.993889,0,,80,96,96,96,4.17,"dirt, rock",0,1.3,NR,center,0,0,0,
bailey canyon trail,35,4,waterway,27050.2,,35.1,34.174444,-118.061389,1,,26,7,11,3,87.76,rock,10.3,>30,0.4,west,19,1,,* along creek
,,,,,,35.2,34.173889,-118.061389,0,,4,5,21,3,91.41,dirt,10.5,>30,0.3,center,17,0,0,
,,,,,,35.2x,34.174167,-118.061389,1,,8,5,5,13,91.93,rock,6.7,>30,0,east,17,1,,
,,,,,,35.3,34.174167,-118.061389,1,,84,12,18,5,69.01,rock,1.3,>30,8.5,east,5,1,,
"bailey canyon trail
 2",36,4,waterway,27050.2,,36.1,34.175278,-118.061389,1,,24,88,30,46,51.04,rock ,0.2,>30,13,center,3,0,,*36 is along walking trail adjacent to creek
,,,,,,36.2,34.155,-118.069722,0,,32,30,24,9,75.26,"rock, gravel",0,>30,15,south,0,0,0,*among 2 species of liverwort not in quadrat 
,,,,,,36.3,34.175278,-118.061667,0,,96,32,12,47,51.3,"rock, gravel",0,>30,10.5,south,0,0,0,
"bailey canyon trail
 3",37,4,waterway,27050.2,,37.1,34.176111,-118.061389,1,,13,30,27,6,80.21,"rock, dirt",1.5,>30,5.5,north,24,0,,*along trail/creek bed
,,,,,,37.2,34.176111,-118.061389,1,,0,39,16,44,74.22,rock,0.7,>30,2.5,east,51,1,,*moss in huge patches with liverwort and lichen
,,,,,,37.3,34.176389,-118.061667,1,,14,19,24,12,82.03,rock,1.2,>30,2.1,south,21,0,,
"n san gabriel blvd, san gabriel",38,3,urban,17777,,38.1,34.103611,-118.090278,1,,0,82,46,79,46.09,dirt,0.5,0.25,NR,north,10,0,,
,,,,,,38.2,34.103611,-118.090556,0,,21,90,86,8,46.61,concrete,0,0.1,NR,south,0,0,0,
,,,,,,38.3,34.103611,-118.090556,0,,49,17,0,41,72.14,concrete,0,2.25,NR,west,0,0,0,
"lower arroyo park area, pasadena",39,3,greenspace,19568.4,,39.1,34.138056,-118.168333,1,,91,9,50,23,54.95,dirt,0,>30,NR,north,17,0,,
,,,,,,39.2,34.138056,-118.168333,0,,62,92,63,52,29.95,dirt,0,>30,NR,west,0,0,0,
,,,,,,39.3,34.139444,-118.1675,1,,2,0,18,67,77.34,dirt,0,>30,NR,north,21,0,,
"yosemite rec center, eagle rock",40,3,greenspace,17402,,40.1,34.131944,-118.2075,1,,0,48,96,43,51.3,dirt,3.15,>30,NR,center,8,0,,nearby machinery w tube that *may* release water
,,,,,,40.2,34.132778,-118.207778,0,,96,48,85,72,21.61,dirt,14.5,>30,NR,center,0,0,0,covered in grass
,,,,,,40.3,34.132222,-118.206944,0,,96,31,69,82,27.6,dirt,16.6,23.6,NR,center,0,0,0,
"ernest w debs regional park, montecito",41,2,greenspace,11770.6,,41.1,34.09,-118.193889,0,,11,2,13,28,85.94,dirt,4,>30,NR,south,5,0,0,
,,,,,,41.1x,34.091389,-118.180556,1,,74,5,18,15,70.83,dirt,2.55,>30,NR,center,5,0,,
,,,,,,41.2,34.09,-118.193889,0,,17,72,51,44,52.08,dirt,1.3,>30,NR,south,0,0,0,grassy area
,,,,,,41.3,34.093611,-118.189722,0,,3,9,6,12,92.19,dirt,1.35,>30,NR,center,0,0,0,grassy by trash
"s manhattan pl, los angeles",42,1,residential,2691.38,,42.1,33.956111,-118.31,1,,26,3,3,19,86.72,"dirt, bark",0.6,1.6,NR,east,5,0,,
,,,,,,42.2,33.956111,-118.310278,0,,95,17,33,96,37.24,dirt,0.1,0.85,NR,south,0,0,0,
,,,,,,42.3,33.956389,-118.310278,0,,58,88,7,96,35.16,dirt,0.2,2.2,NR,south,0,0,0,
"s ocean gate ave, hawthorne",43,1,urban,262.23,,43.1,33.898333,-118.367222,1,,93,96,74,7,29.69,dirt,1.25,3.75,NR,west,10,0,,one moss was by a sprinkler head
,,,,,,43.2,33.898056,-118.367222,1,,83,13,38,84,43.23,dirt,0,3.2,NR,west,3,0,,sample next to sprinkler
,,,,,,43.3,33.898056,-118.367222,0,,96,96,92,96,1.04,dirt,0.3,3.15,NR,south,0,0,0,"no tree cover like other areas, full of grass"
"norwalk park, norwalk",44,2,greenspace,8097.53,,44.1,33.910556,-118.072778,1,,"48, 0, 48, 96",,,,,dirt,0,2,NR,west,69,1,,tons of liverwort! just didn't get to sample it :( ~20 colonies of liverwort (2 in quadrat!)
,,,,,,44.2,33.909444,-118.071667,1,,"96, 96, 92, 24",,,,,dirt,0,11.96,NR,north,11,0,,in transition area between grass and sidewalk
,,,,,,44.3,33.909167,118.072222,0,,"96, 93, 96, 70",,,,,dirt,20.5,30,NR,center,0,0,,grass 
"carmenita rd x pumice, norwalk",45,2,urban,8537.24,,45.1,33.8975,-118.046667,1,,"14, 18, 82, 21",,,,,dirt,0.13,1.95,NR,east,33,0,,"near sprinkler head, lots of crack moss"
,,,,,,45.2,33.897778,-118.046389,1,,"38, 32, 80, 96",,,,,concrete crack,0,0.07,NR,east,28,0,,"crack moss, many semi trucks driving thru"
,,,,,,45.3,33.8975,-118.046389,1,,"35, 0, 35, 85",,,,,dirt,0,1.69,NR,west,114,1,,"huge patches, sample on sprinkler"
"pioneer blvd, cerritos",46,2,urban,6725.39,,46.1,33.864722,-118.0825,0,,"46, 46, 0, 24",,,,,asphalt,25.6,0,NR,east,9,0,,in alley behind businesses
,,,,,,46.1x,33.864444,-118.082778,1,,"46, 46, 0, 24",,,,,asphalt,21.6,0,NR,center,9,0,,"on road, no moss"
,,,,,,46.2,33.864444,-118.082778,0,,"52, 24, 87, 34",,,,,asphalt,>30,0,NR,east,0,0,,"on road, no moss"
,,,,,,46.3,33.864444,-118.082778,0,,"96, 80, 88, 24",,,,,asphalt,>30,0,NR,center,0,0,,"on road, no moss"
"charlemagne ave, long beach",47,2,residential,5179.43,,47.1,33.8325,-118.130556,1,,"33, 7, 82, 17",,,,,dirt,0,2.08,NR,center,11,0,,
,,,,,,47.2,33.832778,-118.130556,0,,"96, 94, 70, 73",,,,,dirt,1.7,0.33,NR,east,0,0,,covered in grass
,,,,,,47.3,NR ,NR ,NR,,NR,,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR because not enough length for full transect
"white point beach, long beach",48,2,waterway,24.33,,48.1,33.717778,-118.320833,1,,"96, 96, 96, 69",,,,,"rock, concrete",21.2,24.9,0,east,24,1,,in tide pool area
,,,,,,48.2,33.715833,-118.319444,0,," 96, 96, 72, 96",,,,,"rock, gravely sand",26.9,>30,0,center,0,1,0,sea water present
,,,,,,48.3,33.7175,-118.320278,0,,"96, 96, 72, 96",,,,,"rock, gravely sand",>30,>30,0,west,0,1,0,sea water present
"torrance beach, torrance",49,2,waterway,794.45,,49.1,33.815833,-118.390833,0,,"96, 96, 96, 96",,,,,sand,4.95,>30,>30,south,0,0,0,"sand beach, no shade"
,,,,,,49.2,33.816111,-118.391111,0,,"96, 96, 96, 96",,,,,sand,12.8,>30,>30,west,0,0,0,"sand beach, no shade"
,,,,,,49.3,33.816389,-118.390833,0,,"96, 96, 96, 96",,,,,sand,15.2,>30,>30,north,0,0,0,"sand beach, no shade"
